胶原性结肠炎,collagenous colitis
缺血性结肠炎,ischemic colitis
空肠回肠炎,jejunoileitis
回肠炎,ileitis
胆囊病,gallbladder disease
口角炎,angular cheilitis
腹股沟疝,inguinal hernia,小肠疝气
脐疝,umbilical hernia
牙脓肿,dental abscess
肛(门)瘘,anal fistula
舌系带短缩,ankyloglossia,舌运动不能,结舌
胆石,cholelithiasis,胆石病
草莓状胆囊,strawberry gallbladder,草莓样胆囊
涎腺炎,sialadenitis
急性牙周膜炎,acute pericementitis
牙质龋,dentin caries
食管闭锁,esophageal atresia
肠闭锁,intestinal atresia
短肠综合征,short bowel syndrome
盲襻综合征,blind loop syndrome
胃溃疡,gastric ulcer
舌病,tongue disease
牙髓炎,pulpitis
胆囊结石(病),cholecystolithiasis
牙髓变性,pulp degeneration
慢性根尖牙周炎,chronic apical periodontitis,慢性根尖牙周围炎
龈退缩,gingival recession,牙龈退缩
功能性疾病,functional diarrhea,功能性腹泻
巨结肠,megacolon
肛门痉挛,anal spasm
沟裂舌,fissured tongue,舌裂,裂纹舌,裂缝舌
髓益,acute apical periodontitis,急性根尖周围炎
胆总管结石病,choledocholithiasis
肝肾综合征,hepatorenal syndrome,急性浆液性肝肾炎,肝肾病证
胃轻瘫,gastroparesis
食管炎,esophagitis
幽门痉挛,pylorospasm
瀑布形胃,cascade stomach
酒精性肝炎,alcoholic hepatitis
痢疾,dysentery
肥厚性幽门狭窄,hypertrophic pyloric stenosis
幽门狭窄,pyloric stenosis
裂孔疝,hiatus hernia
牙骨质增生,hypercementosis
肠疝,enterocele
涎石病,sialolithiasis,涎石形成
食管扩张,megaesophagus,巨食管
牙吸收,tooth resorption
阑尾粘液囊肿,mucocele of appendix
肠气囊症,pneumatosis cystoides intestinalis,肠壁囊样积气,(拉)肠壁囊样积气症,肠壁囊样积气症
腹泻,diarrhea
结肠憩室炎,diverticulitis of colon
舌乳头肥大,hypertrophy of tongue papillae
胆管穿孔,perforation of bile duct
毛舌,hairy tongue
胆汗郁积,cholestasis,胆汁郁积,胆汁阻塞,胆汗阻塞
阻塞性黄疸,obstructive jaundice,梗阻性黄疸
胆管闭锁,biliary atresia,胆道闭锁
肝外梗阻,extrahepatic cholestasis
牙缺失,anodontia,无牙,无牙症
消化性食管炎,peptic esophagitis
酒精性肝硬变,alcoholic liver cirrhosis
根龋,root caries
获得性胃出口狭窄,acquired gastric outlet stenosis
正中菱形舌炎,median rhomboid glossitis,中菱形舌炎
硬化性胆管炎,sclerosing cholangitis
化脓性胆管炎,suppurative cholangitis
急性胆管炎,acute cholangitis
胆管周围炎,pericholangitis
倾倒综合征,dumping syndrome,倾倒性综合征
萎缩性舌炎,atrophic glossitis
地图样舌,geographic tongue
(牙)根吸收,root resorption
舌炎,glossitis
龈疾病,gingival disease,齿肉疾病
十二指肠溃疡,duodenal ulcer
唇炎,cheilitis
中毒性巨,toxic megacolon,中毒性巨结肠
肝内胆汁阻塞,intrahepatic cholestasis,肝内胆汁淤积,肝内胆汁郁滞,肝内胆汁郁积
病毒性肝炎,viral hepatitis
胆囊炎,cholecystitis
肠穿孔,intestinal perforation
秘结,constipation,便结,便秘
龋牙,dental caries,龋齿,龋
釉质龋,enamel caries
釉质生长不全,amelogenesis imperfecta,釉质发生不全
肝炎,hepatitis
肉芽肿性肝炎,granulomatous hepatitis
胃弱挟食,dyspepsia,消化不良,积食不消
胃肠炎,gastroenteritis
龈炎,gingivitis,齿龈肿痛
肝疾病,hepatobiliary disease
胃出口梗阻,gastric outlet obstruction
直肠炎,proctitis
肛门疾病,anus disease
胃扩张,gastric dilatation
牙周病,periodontal disease
肠系膜上动脉综合征,superior mesenteric artery syndrome
十二指肠梗阻,duodenal obstruction
冠周炎,pericoronitis
胃炎,gastritis
口疾病,mouth disease
嗜酸细胞性胃肠炎,eosinophilic gastroenteritis
肉芽肿性胃炎,granulomatous gastritis
肝病,liver disease
胆囊运动障碍,biliary dyskinesia
牙质形成不全,dentinogenesis imperfecta,牙质生成不全
根尖周肉芽肿,periapical granuloma
肠疾病,intestinal disease
(牙)龈瘤,epulis
龈肥大,gingival hypertrophy
食道疾病,esophageal disease
牙轴质发育不全,dental enamel hypoplasia
牙(本)质发育异常,dentin dysplasia
先天性龈瘤,congenital epulis
憩室炎,diverticulitis
胃病,stomach disease
根尖周炎,periapical periodontitis
福夏尔氏病,periodontitis,牙周炎
腹膜炎,peritonitis
阑尾炎,appendicitis
肠梗阻,intestinal obstruction
输入肠袢综合征,afferent loop syndrome,输入性肠袢梗阻综合征
肠梗阻,ileus
麻痹性肠梗阻,paralytic ileus
小肠扭转,intestinal volvulus
摄取,intussusception,套迭,肠套叠,内填(作用)
肠嵌塞,intestinal impaction
胃食管返流疾病,gastroesophageal reflux disease
溃疡性结肠炎,ulcerative colitis
急性肠血管供血不足,acute vascular insufficiency of intestine
十二指肠炎,duodenitis
胃十二指肠炎,gastroduodenitis
酒精性胃炎,alcoholic gastritis
胃粘膜肥厚,gastric mucosal hypertrophy
萎缩性胃炎,atrophic gastritis
弛缓不能,achalasia,失弛缓性,失弛缓症,驰缓不能,失驰缓性
食管运动障碍,dyskinesia of esophagus
唇疾病,lip disease
慢性胆管炎,chronic cholangitis
胆管炎,cholangitis
口腔炎,stomatitis,口炎
溃疡性口炎,aphthous stomatitis,阿弗他口炎,口疮性口炎
坏疽性口炎,noma,走马疳
溃疡性口炎,ulcerative stomatitis
胆囊积液,hydrops of gallbladder,胆囊积水
胆囊切除术后综合征,postcholecystectomy syndrome
胆道病,biliary tract disease
气肿性胆囊炎,emphysematous cholecystitis
肠二糖酶缺乏,intestinal disaccharidase deficiency
牙周变性,periodontosis
2A1型釉质发育不全,amelogenesis imperfecta type 2A1
坏死性胃炎,necrotizing gastritis
1H型釉质发育不全,amelogenesis imperfecta type 1H
2A4型低成熟釉质发育不全,amelogenesis imperfecta hypomaturation type 2A4
胃十二指肠克罗恩病,gastroduodenal Crohn&apos;s disease
外部病理性吸收,external pathological resorption
牙体硬组织病,teeth hard tissue disease
消化系统疾病,gastrointestinal system disease
1C型釉质发育不全,amelogenesis imperfecta type 1C
牙齿发育不全,tooth agenesis
1型先天性分泌性氯（化物）腹泻,congenital secretory chloride diarrhea 1
1F型釉质发育不全,amelogenesis imperfecta type 1F
口腔黏膜白斑,oral mucosa leukoplakia
慢性肠血管功能不全,chronic intestinal vascular insufficiency
2A3型低成熟釉质发育不全,amelogenesis imperfecta hypomaturation type 2A3
2A2型低成熟釉质发育不全,amelogenesis imperfecta hypomaturation type 2A2
内部病理性吸收,internal pathological resorption
釉质侵蚀,enamel erosion
牙（本质）侵蚀,dentine erosion
（活动性）消化性溃疡病,active peptic ulcer disease
1E型牙釉质发育不全,amelogenesis imperfecta type 1E
真菌性胃炎,fungal gastritis
细菌性胃炎,bacterial gastritis
动力性腹泻,motility-related diarrhea
疱疹性胃炎,herpetic gastritis
2A5型牙釉质发育不全,amelogenesis imperfecta hypomaturation type 2A5
迪厄拉富瓦病,Dieulafoy lesion,Dieulafoy病
4型牙釉质发育不全,amelogenesis imperfecta type 4
功能性胃肠病,functional gastric disease,胃肠道功能紊乱
1G型牙釉质发育不全,amelogenesis imperfecta type 1G
肝脏炎性假瘤,liver inflammatory pseudotumor
1B型牙釉质发育不全,amelogenesis imperfecta type 1B
先天性食管裂孔疝,displacement of cardia through esophageal hiatus,(他的label错了)
小肠憩室炎,small intestine diverticulitis
1A型牙釉质发育不全,amelogenesis imperfecta type 1A
肛周与直肠溃疡,ulcer of anus and rectum
3型牙釉质发育不全,amelogenesis imperfecta type 3
食管白斑,esophageal leukoplakia
巴雷斯特食道症,Barrett&apos;s esophagus,巴洛氏食道症,巴雷特症候群,巴瑞特氏食道症
克罗恩病,Crohn&apos;s disease,局限性肠炎,局限性回肠炎,节段性肠炎,肉芽肿性肠炎
先天性回肠末端憩室,Meckel&apos;s diverticulitis,梅克尔憩室,美克尔憩室炎
结肠节段性肠炎,Crohn&apos;s colitis,结肠克隆氏病
先天性巨结肠,Hirschsprung&apos;s disease,希尔施普龙病
牙髓侵蚀,pulp erosion,pulp erosion
功能障碍性便秘,outlet dysfunction constipation,outlet dysfunction constipation
伴X染色体的发育不全,X-linked amelogenesis imperfecta hypoplastic/hypomaturation 2,X-linked amelogenesis imperfecta hypoplastic/hypomaturation 2
